"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","267,153","40,750","15.3%","927,026","66,918","7.2%","436,937","28,066","6.4%","504,013","65,858","13.1%","92,226","9,796","10.6%","142,679","26,781","18.8%","781,279","130,583","16.7%","287,292","22,815","7.9%","672,241","115,254","17.1%","121,269","5,403","4.5%","356,513","40,450","11.3%","807,450","69,297","8.6%","621,400","47,055","7.6%","491,300","22,800","4.6%","582,096","63,181","10.9%","502,606","85,639","17.0%","62,517","8,860","14.2%","329,859","15,745","4.8%","142,214","7,573","5.3%","550,581","56,826","10.3%","105,338","8,602","8.2%","8,783,989","938,252","10.7%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","58,445","14,287","24.4%","200,539","17,028","8.5%","94,099","8,385","8.9%","116,458","22,459","19.3%","16,379","2,373","14.5%","35,840","9,991","27.9%","188,757","43,988","23.3%","65,346","6,783","10.4%","137,447","35,405","25.8%","24,882","1,229","4.9%","79,483","12,327","15.5%","182,085","20,093","11.0%","136,576","13,553","9.9%","108,539","5,228","4.8%","137,204","25,713","18.7%","121,974","32,031","26.3%","13,875","3,639","26.2%","75,190","3,711","4.9%","29,844","1,877","6.3%","130,073","18,697","14.4%","22,092","2,718","12.3%","1,975,127","301,515","15.3%"
"            Under 5 years","15,349","4,658","30.3%","49,041","4,211","8.6%","22,970","2,438","10.6%","31,263","6,869","22.0%","4,240","569","13.4%","9,876","2,659","26.9%","51,996","14,267","27.4%","15,717","1,621","10.3%","46,888","10,839","23.1%","4,890","292","6.0%","20,865","3,828","18.3%","48,711","5,804","11.9%","31,444","3,385","10.8%","24,833","1,316","5.3%","40,020","9,221","23.0%","34,459","9,707","28.2%","3,490","1,097","31.4%","17,537","804","4.6%","6,524","436","6.7%","34,802","5,237","15.0%","5,013","534","10.7%","519,928","89,792","17.3%"
"            5 to 17 years","43,096","9,629","22.3%","151,498","12,817","8.5%","71,129","5,947","8.4%","85,195","15,590","18.3%","12,139","1,804","14.9%","25,964","7,332","28.2%","136,761","29,721","21.7%","49,629","5,162","10.4%","90,559","24,566","27.1%","19,992","937","4.7%","58,618","8,499","14.5%","133,374","14,289","10.7%","105,132","10,168","9.7%","83,706","3,912","4.7%","97,184","16,492","17.0%","87,515","22,324","25.5%","10,385","2,542","24.5%","57,653","2,907","5.0%","23,320","1,441","6.2%","95,271","13,460","14.1%","17,079","2,184","12.8%","1,455,199","211,723","14.5%"
"            Related children of householder under 18 years","58,128","13,998","24.1%","200,183","16,722","8.4%","93,743","8,048","8.6%","116,022","22,036","19.0%","16,298","2,311","14.2%","35,694","9,894","27.7%","188,285","43,530","23.1%","65,130","6,567","10.1%","136,827","34,832","25.5%","24,798","1,145","4.6%","79,149","12,059","15.2%","181,731","19,762","10.9%","136,291","13,311","9.8%","108,331","5,084","4.7%","136,770","25,323","18.5%","121,755","31,834","26.1%","13,811","3,575","25.9%","75,101","3,622","4.8%","29,752","1,785","6.0%","129,769","18,470","14.2%","22,020","2,664","12.1%","1,969,588","296,572","15.1%"
"        18 to 64 years","165,393","22,618","13.7%","577,094","38,182","6.6%","273,649","16,494","6.0%","315,357","36,432","11.6%","53,385","5,568","10.4%","85,987","14,804","17.2%","493,285","73,619","14.9%","180,673","13,991","7.7%","460,951","67,539","14.7%","75,968","3,484","4.6%","226,033","24,164","10.7%","512,847","40,238","7.8%","386,068","27,353","7.1%","306,050","13,364","4.4%","317,984","29,560","9.3%","313,109","45,655","14.6%","38,182","4,521","11.8%","208,332","9,586","4.6%","90,825","4,822","5.3%","347,313","31,764","9.1%","66,170","4,970","7.5%","5,494,655","528,728","9.6%"
"            18 to 34 years","55,621","9,671","17.4%","181,219","14,309","7.9%","89,728","6,393","7.1%","112,881","15,952","14.1%","16,323","2,040","12.5%","32,119","6,399","19.9%","174,624","32,022","18.3%","59,636","6,849","11.5%","198,730","31,700","16.0%","19,076","1,102","5.8%","77,895","10,730","13.8%","176,298","19,095","10.8%","117,829","11,024","9.4%","92,381","5,760","6.2%","106,665","12,621","11.8%","115,546","19,566","16.9%","12,399","1,824","14.7%","62,574","3,538","5.7%","26,506","1,590","6.0%","118,887","12,944","10.9%","19,927","1,774","8.9%","1,866,864","226,903","12.2%"
"            35 to 64 years","109,772","12,947","11.8%","395,875","23,873","6.0%","183,921","10,101","5.5%","202,476","20,480","10.1%","37,062","3,528","9.5%","53,868","8,405","15.6%","318,661","41,597","13.1%","121,037","7,142","5.9%","262,221","35,839","13.7%","56,892","2,382","4.2%","148,138","13,434","9.1%","336,549","21,143","6.3%","268,239","16,329","6.1%","213,669","7,604","3.6%","211,319","16,939","8.0%","197,563","26,089","13.2%","25,783","2,697","10.5%","145,758","6,048","4.1%","64,319","3,232","5.0%","228,426","18,820","8.2%","46,243","3,196","6.9%","3,627,791","301,825","8.3%"
"        60 years and over","61,288","5,770","9.4%","207,183","15,271","7.4%","95,957","4,717","4.9%","101,791","9,971","9.8%","31,164","2,420","7.8%","28,762","3,146","10.9%","142,749","18,651","13.1%","59,908","3,273","5.5%","107,662","16,764","15.6%","29,902","1,067","3.6%","73,232","5,948","8.1%","161,016","12,234","7.6%","139,979","8,426","6.0%","107,950","5,286","4.9%","163,653","11,011","6.7%","96,205","11,525","12.0%","15,048","1,141","7.6%","65,913","3,555","5.4%","31,963","1,391","4.4%","103,369","8,942","8.7%","23,930","1,441","6.0%","1,848,624","151,950","8.2%"
